Complexity metrics,sábado, 4 dez 2021 22:17:09 GMT
Method,CogC,ev(G),iv(G),v(G)
"org.jabref.gui.collab.EntryAddChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.EntryAddChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",0,1,1,1
"org.jabref.gui.collab.EntryChangeViewModel.EntryChangeViewModel(BibEntry,BibEntry)",0,1,1,1
"org.jabref.gui.collab.EntryChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.EntryChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",0,1,1,1
"org.jabref.gui.collab.EntryChangeViewModel.setAccepted(boolean)",2,1,2,2
"org.jabref.gui.collab.EntryDeleteChangeViewModel.EntryDeleteChangeViewModel(BibEntry)",0,1,1,1
"org.jabref.gui.collab.EntryDeleteChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.EntryDeleteChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",0,1,1,1
"org.jabref.gui.collab.GroupChangeViewModel.GroupChangeViewModel(GroupDiff)",1,1,2,2
"org.jabref.gui.collab.GroupChangeViewModel.description()",1,1,2,2
"org.jabref.gui.collab.GroupChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",4,1,3,3
"org.jabref.gui.collab.MetaDataChangeViewModel.MetaDataChangeViewModel(MetaDataDiff,PreferencesService)",0,1,1,1
"org.jabref.gui.collab.MetaDataChangeViewModel.description()",1,1,2,2
"org.jabref.gui.collab.MetaDataChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",0,1,1,1
"org.jabref.gui.collab.PreambleChangeViewModel.PreambleChangeViewModel(PreambleDiff)",0,1,1,1
"org.jabref.gui.collab.PreambleChangeViewModel.description()",3,1,3,3
"org.jabref.gui.collab.PreambleChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",0,1,1,1
"org.jabref.gui.collab.StringAddChangeViewModel.StringAddChangeViewModel(BibtexString)",0,1,1,1
"org.jabref.gui.collab.StringAddChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.StringAddChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",1,1,2,2
"org.jabref.gui.collab.StringChangeViewModel.StringChangeViewModel(BibtexString,BibtexString)",0,1,1,1
"org.jabref.gui.collab.StringChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.StringChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",0,1,1,1
"org.jabref.gui.collab.StringNameChangeViewModel.StringNameChangeViewModel(BibtexString,BibtexString)",0,1,1,1
"org.jabref.gui.collab.StringNameChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.StringNameChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",1,1,2,2
"org.jabref.gui.collab.StringRemoveChangeViewModel.StringRemoveChangeViewModel(BibtexString)",0,1,1,1
"org.jabref.gui.collab.StringRemoveChangeViewModel.description()",0,1,1,1
"org.jabref.gui.collab.StringRemoveChangeViewModel.makeChange(BibDatabaseContext,NamedCompound)",1,1,2,2
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.CitationKeyPatternPanel()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.HighlightTableRow.updateItem(CitationKeyPatternPanelItemModel,boolean)",5,1,5,5
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.defaultKeyPatternProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.initialize()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.jumpToSearchKey(KeyEvent)",3,2,2,3
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.patternListProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.resetAll()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanel.setValues(Collection<BibEntryType>,AbstractCitationKeyPattern)",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.CitationKeyPatternPanelItemModel(EntryType,String)",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.entryType()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.getEntryType()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.getPattern()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.pattern()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.setPattern(String)",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelItemModel.toString()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.CitationKeyPatternPanelViewModel(PreferencesService)",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.DefaultEntryType.getDisplayName()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.DefaultEntryType.getName()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.defaultKeyPatternProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.patternListProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.resetAll()",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.setItemToDefaultPattern(CitationKeyPatternPanelItemModel)",0,1,1,1
"org.jabref.gui.commonfxcontrols.CitationKeyPatternPanelViewModel.setValues(Collection<BibEntryType>,AbstractCitationKeyPattern)",6,1,4,4
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.FieldFormatterCleanupsPanel()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.addCleanup()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.cleanupsDisableProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.cleanupsProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.clearAll()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.initialize()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.resetToRecommended()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.setupBindings()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.setupCombos()",5,1,4,4
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanel.setupTable()",2,1,2,2
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.FieldFormatterCleanupsPanelViewModel()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.addCleanup()",3,2,3,4
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.availableFieldsProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.availableFormattersProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.cleanupsDisableProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.cleanupsListProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.clearAll()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.removeCleanup(FieldFormatterCleanup)",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.resetToRecommended()",3,1,2,2
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.selectedCleanupProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.selectedFieldProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.FieldFormatterCleanupsPanelViewModel.selectedFormatterProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.SaveOrderConfigPanel()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.addCriterion()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.clearCriterionRow(int)",2,1,2,2
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.createCriterionRow(SortCriterionViewModel,int)",2,1,2,2
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.createRowButtons(SortCriterionViewModel)",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.initialize()",15,1,7,7
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.moveCriterionDown(SortCriterionViewModel)",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.moveCriterionUp(SortCriterionViewModel)",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.removeCriterion(SortCriterionViewModel)",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.saveInOriginalProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.saveInSpecifiedOrderProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.saveInTableOrderProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.setCriteriaLimit(int)",1,1,2,2
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.sortCriteriaProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanel.sortableFieldsProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.SaveOrderConfigPanelViewModel()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.addCriterion()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.moveCriterionDown(SortCriterionViewModel)",4,1,4,4
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.moveCriterionUp(SortCriterionViewModel)",3,1,3,3
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.removeCriterion(SortCriterionViewModel)",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.saveInOriginalProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.saveInSpecifiedOrderProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.saveInTableOrderProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.sortCriteriaProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModel.sortableFieldsProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModelTest.addCriterion()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModelTest.moveCriterionDown()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModelTest.moveCriterionUp()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModelTest.removeCriterion()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SaveOrderConfigPanelViewModelTest.setUp()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SortCriterionViewModel.SortCriterionViewModel(SortCriterion)",0,1,1,1
"org.jabref.gui.commonfxcontrols.SortCriterionViewModel.descendingProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SortCriterionViewModel.fieldProperty()",0,1,1,1
"org.jabref.gui.commonfxcontrols.SortCriterionViewModel.getCriterion()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.ContentSelectorDialogView(LibraryTab)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.addNewFieldName()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.addNewKeyword()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.getSelectedField()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.getSelectedKeyword()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.initFieldNameComponents()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.initKeywordsComponents()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.initListView(ListView<T>,Supplier<ListProperty<T>>)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.initialize()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.removeFieldName()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogView.removeKeyword()",2,1,3,3
"org.jabref.gui.contentselector.ContentSelectorDialogView.saveChangesAndClose()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.ContentSelectorDialogViewModel(LibraryTab,DialogService)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.addFieldIfUnique(Field)",1,2,2,2
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.addKeywordIfUnique(Field,String)",1,2,2,2
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.asHashSet(List<String>)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.filterFieldsToRemove()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.getFieldNamesBackingList()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.getKeywordsBackingList()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.isFieldNameListEmpty()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.isNoFieldNameSelected()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.isNoKeywordSelected()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.keywordsHaveChanged(Field,List<String>)",2,2,2,3
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.populateFieldNameKeywordsMapWithExistingValues()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.populateFieldNamesListWithValues()",1,1,2,2
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.populateKeywords(Field)",1,1,2,2
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.removeFieldName(Field)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.removeKeyword(Field,String)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.saveChanges()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.selectedFieldProperty()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.selectedKeywordProperty()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.showInputFieldNameDialog()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.showInputKeywordDialog(Field)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.showRemoveFieldNameConfirmationDialog(Field)",2,2,3,3
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.showRemoveKeywordConfirmationDialog(Field,String)",1,1,2,2
"org.jabref.gui.contentselector.ContentSelectorDialogViewModel.updateMetaDataContentSelector(List<Field>,Field,List<String>)",2,1,3,3
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.addField(Field)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.addKeyword(Field,String)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.addsKeywordOnlyIfUnique()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.addsNewField()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.addsNewKeyword()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.displaysKeywordsInAlphabeticalOrder()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.initHasDefaultFieldNames()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.removeField(Field)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.removeKeyword(Field,String)",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.removesField()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.removesKeyword()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.savingPersistsDataInDatabase()",0,1,1,1
"org.jabref.gui.contentselector.ContentSelectorDialogViewModelTest.setUp()",0,1,1,1
"org.jabref.gui.contentselector.ManageContentSelectorAction.ManageContentSelectorAction(JabRefFrame,StateManager)",0,1,1,1
"org.jabref.gui.contentselector.ManageContentSelectorAction.execute()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesAction.CopyFilesAction(DialogService,PreferencesService,StateManager)",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesAction.execute()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesAction.showDialog(List<CopyFilesResultItemViewModel>)",1,2,2,2
"org.jabref.gui.copyfiles.CopyFilesDialogView.CopyFilesDialogView(CopyFilesResultListDependency)",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesDialogView.initialize()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesDialogView.setupTable()",4,1,3,3
"org.jabref.gui.copyfiles.CopyFilesDialogViewModel.CopyFilesDialogViewModel(CopyFilesResultListDependency)",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesDialogViewModel.copyFilesResultListProperty()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultItemViewModel.CopyFilesResultItemViewModel(Path,boolean,String)",1,1,2,2
"org.jabref.gui.copyfiles.CopyFilesResultItemViewModel.getFile()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultItemViewModel.getIcon()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultItemViewModel.getMessage()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultItemViewModel.toString()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultListDependency.CopyFilesResultListDependency()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultListDependency.CopyFilesResultListDependency(List<CopyFilesResultItemViewModel>)",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultListDependency.getResults()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesResultListDependency.toString()",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesTask.CopyFilesTask(BibDatabaseContext,List<BibEntry>,Path,PreferencesService)",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesTask.addResultToList(Path,boolean,String)",0,1,1,1
"org.jabref.gui.copyfiles.CopyFilesTask.call()",25,7,7,9
"org.jabref.gui.copyfiles.CopyFilesTask.writeLogMessage(Path,BufferedWriter,String)",1,1,2,2
"org.jabref.gui.copyfiles.CopySingleFileAction.CopySingleFileAction(LinkedFile,DialogService,BibDatabaseContext,PreferencesService)",1,1,2,2
"org.jabref.gui.copyfiles.CopySingleFileAction.copyFileToDestination(Path)",6,1,4,4
"org.jabref.gui.copyfiles.CopySingleFileAction.execute()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.CustomEntryTypeDialogViewModel(BibDatabaseMode,PreferencesService,BibEntryTypesManager)",2,1,3,3
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.FieldType.FieldType(String)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.FieldType.getDisplayName()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.FieldType.toString()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.addAllTypes()",5,1,3,4
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.addNewCustomEntryType()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.addNewField()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.apply()",2,1,3,3
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.entryTypeToAddProperty()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.entryTypeValidationStatus()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.entryTypes()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.fieldValidationStatus()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.fieldsForAdding()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.newFieldToAddProperty()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.removeEntryType(EntryTypeViewModel)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.removeField(FieldViewModel)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.resetAllCustomEntryTypes()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.selectedEntryTypeProperty()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeDialogViewModel.selectedFieldToAddProperty()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomEntryTypeViewModel.CustomEntryTypeViewModel(BibEntryType)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryAction.CustomizeEntryAction(StateManager,BibEntryTypesManager)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryAction.execute()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.CustomizeEntryTypeDialogView(BibDatabaseContext,BibEntryTypesManager)",2,1,2,2
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.addEntryType()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.addNewField()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.handleOnDragDetected(TableRow<FieldViewModel>,FieldViewModel,MouseEvent)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.handleOnDragDropped(TableRow<FieldViewModel>,FieldViewModel,DragEvent)",7,1,3,4
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.handleOnDragExited(TableRow<FieldViewModel>,FieldViewModel,DragEvent)",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.handleOnDragOver(TableRow<FieldViewModel>,FieldViewModel,DragEvent)",2,1,3,3
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.initialize()",0,1,1,1
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.resetEntryTypes()",1,1,2,2
"org.jabref.gui.customentrytypes.CustomizeEntryTypeDialogView.setupTable()",11,4,5,5
"org.jabref.gui.customentrytypes.EntryTypeViewModel.EntryTypeViewModel(BibEntryType)",0,1,1,1
"org.jabref.gui.customentrytypes.EntryTypeViewModel.addField(FieldViewModel)",0,1,1,1
"org.jabref.gui.customentrytypes.EntryTypeViewModel.entryType()",0,1,1,1
"org.jabref.gui.customentrytypes.EntryTypeViewModel.equals(Object)",3,3,2,4
"org.jabref.gui.customentrytypes.EntryTypeViewModel.fields()",0,1,1,1
"org.jabref.gui.customentrytypes.EntryTypeViewModel.hashCode()",0,1,1,1
"org.jabref.gui.customentrytypes.EntryTypeViewModel.removeField(FieldViewModel)",0,1,1,1
"org.jabref.gui.customentrytypes.EntryTypeViewModel.toString()",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.FieldViewModel(Field,FieldType,FieldPriority)",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.FieldViewModel(Field,boolean,FieldPriority)",1,1,1,2
"org.jabref.gui.customentrytypes.FieldViewModel.fieldName()",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.fieldType()",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.getField()",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.getFieldPriority()",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.getFieldType()",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.setFieldType(FieldType)",0,1,1,1
"org.jabref.gui.customentrytypes.FieldViewModel.toString()",0,1,1,1
"org.jabref.gui.desktop.JabRefDesktop.JabRefDesktop()",0,1,1,1
"org.jabref.gui.desktop.JabRefDesktop.getNativeDesktop()",3,4,1,4
"org.jabref.gui.desktop.JabRefDesktop.openBrowser(String)",0,1,1,1
"org.jabref.gui.desktop.JabRefDesktop.openBrowser(URI)",0,1,1,1
"org.jabref.gui.desktop.JabRefDesktop.openBrowserShowPopup(String)",1,1,2,2
"org.jabref.gui.desktop.JabRefDesktop.openConsole(File,PreferencesService)",8,2,4,5
"org.jabref.gui.desktop.JabRefDesktop.openCustomDoi(String,PreferencesService,DialogService)",2,1,2,2
"org.jabref.gui.desktop.JabRefDesktop.openDoi(String)",0,1,1,1
"org.jabref.gui.desktop.JabRefDesktop.openExternalFileAnyFormat(BibDatabaseContext,PreferencesService,String,Optional<ExternalFileType>)",4,2,4,4
"org.jabref.gui.desktop.JabRefDesktop.openExternalFilePlatformIndependent(Optional<ExternalFileType>,String)",5,1,3,3
"org.jabref.gui.desktop.JabRefDesktop.openExternalViewer(BibDatabaseContext,PreferencesService,String,Field)",23,4,15,17
"org.jabref.gui.desktop.JabRefDesktop.openFolderAndSelectFile(Path,PreferencesService)",8,2,4,5
"org.jabref.gui.desktop.os.DefaultDesktop.detectProgramPath(String,String)",0,1,1,1
"org.jabref.gui.desktop.os.DefaultDesktop.getApplicationDirectory()",0,1,1,1
"org.jabref.gui.desktop.os.DefaultDesktop.openConsole(String)",0,1,1,1
"org.jabref.gui.desktop.os.DefaultDesktop.openFile(String,String)",0,1,1,1
"org.jabref.gui.desktop.os.DefaultDesktop.openFileWithApplication(String,String)",0,1,1,1
"org.jabref.gui.desktop.os.DefaultDesktop.openFolderAndSelectFile(Path)",0,1,1,1
"org.jabref.gui.desktop.os.Linux.detectProgramPath(String,String)",0,1,1,1
"org.jabref.gui.desktop.os.Linux.getApplicationDirectory()",0,1,1,1
"org.jabref.gui.desktop.os.Linux.nativeOpenFile(String)",7,1,4,4
"org.jabref.gui.desktop.os.Linux.openConsole(String)",6,1,5,5
"org.jabref.gui.desktop.os.Linux.openFile(String,String)",3,1,3,3
"org.jabref.gui.desktop.os.Linux.openFileWithApplication(String,String)",3,1,3,3
"org.jabref.gui.desktop.os.Linux.openFolderAndSelectFile(Path)",4,1,4,4
"org.jabref.gui.desktop.os.NativeDesktop.getUserDirectory()",0,1,1,1
"org.jabref.gui.desktop.os.OSX.detectProgramPath(String,String)",0,1,1,1
"org.jabref.gui.desktop.os.OSX.getApplicationDirectory()",0,1,1,1
"org.jabref.gui.desktop.os.OSX.openConsole(String)",0,1,1,1
"org.jabref.gui.desktop.os.OSX.openFile(String,String)",3,1,3,3
"org.jabref.gui.desktop.os.OSX.openFileWithApplication(String,String)",2,1,2,3
"org.jabref.gui.desktop.os.OSX.openFolderAndSelectFile(Path)",0,1,1,1
"org.jabref.gui.desktop.os.Windows.detectProgramPath(String,String)",4,4,2,4
"org.jabref.gui.desktop.os.Windows.getApplicationDirectory()",1,2,2,2
"org.jabref.gui.desktop.os.Windows.getProgramPath(String,String,String)",4,2,4,4
"org.jabref.gui.desktop.os.Windows.openConsole(String)",0,1,1,1
"org.jabref.gui.desktop.os.Windows.openFile(String,String)",3,1,3,3
